,real_dist,checked_dist,sample_size,chi_square,kolmogorov_smirnov,anderson_darling,sample
10,normal,normal,50,True,True,True,"[array([ 0.70479475, -1.60443629,  1.25064671,  1.27731103,  1.18556163,
        1.12909908,  0.86739018, -0.18897568, -0.48143366,  1.28601682,
       -0.68188882,  0.91817728,  0.96775115,  1.11541303,  0.07186658,
       -0.44678709,  0.19767498, -0.1375172 , -1.2552379 ,  0.78758629,
        0.27593797,  0.8915889 ,  0.21648807,  1.19870061,  0.59246389,
        0.50189002,  0.6635559 ,  1.24688786,  1.19615998,  0.43061516,
        2.05016557,  0.59758448,  0.14591372, -1.25996477,  1.30544249,
        1.71190643,  0.44821605,  0.20648471,  0.73673449,  0.77330774,
        1.03410546,  0.50546812, -1.97279763,  0.13322322,  0.60833366,
        0.77381707, -1.31591942,  0.65751794,  0.18123011,  0.34473778])]"
11,normal,normal,50,False,False,False,"[array([-1.96670223,  1.73572062,  1.81866229,  0.33250835, -0.15050984,
       -1.3596118 ,  1.44058389, -0.07847691,  0.8353248 ,  0.04715028,
        1.91789121, -1.39589646,  0.16620299, -0.25078192, -1.17497958,
        0.55460066,  1.56031999,  1.02168651,  0.13684093,  0.23323431,
       -0.1064809 , -0.00845062,  0.22807328,  2.76701802,  0.15511185,
        0.42229593,  1.01922872, -0.46965503,  0.18391028, -1.70243473,
       -0.01980072, -1.80632149, -0.21976345, -0.83299625,  0.53263747,
        1.73850249,  1.57727077,  0.10575228,  2.20573869, -0.09643708,
        0.74052571,  2.23320085, -1.08095077,  1.14843631, -1.30632516,
       -0.67679962,  0.15627932, -0.64168893,  0.68879828,  1.54886435])]"
12,normal,normal,50,False,False,False,"[array([ 0.72466193,  0.26113766,  0.46960021, -0.77891418, -1.43207698,
        1.24338671, -1.28494324,  0.46086053, -1.33544706, -0.19230674,
        0.41615058, -1.70091453,  0.48169032,  0.37677692, -0.22684382,
       -0.70455643, -1.27233239, -0.1535866 , -0.17529443,  0.66947729,
       -0.73904881, -0.22690474, -0.24806676,  0.38641461,  0.60192044,
        1.8916642 ,  1.72431024, -0.99877627, -0.32429724,  1.0162482 ,
        1.86875608,  0.26591483, -0.03311209, -1.56917357, -0.74837635,
       -0.47511738,  1.5247979 , -0.30479057,  1.28940199,  1.62079345,
        1.17558187, -0.34686108, -1.68963491,  1.19155016, -0.23150623,
       -0.82223894,  0.76403933,  1.73792551, -0.51492566, -0.04263498])]"
13,normal,normal,50,False,False,False,"[array([ 0.2208609 , -1.34217689, -0.50392018,  1.23683166,  0.8657521 ,
       -0.62979611,  1.61926948, -0.72275719, -0.23848214,  0.05159604,
       -0.37974314,  0.47225432, -0.55707227, -0.68368886,  1.13537313,
       -1.81704548, -1.44601427,  0.31664233, -0.54398179, -0.29436931,
       -1.67585331, -0.83760683, -0.99221389,  0.06807695,  0.66356568,
        0.94743269, -0.69141331, -1.60921838,  0.00631785,  1.4824334 ,
       -1.01069297, -0.29745337,  0.88273941,  0.57748993, -1.61263022,
        0.35830479, -0.58259555, -1.49635891,  0.7368817 ,  0.28874544,
       -1.34113865,  0.01354583,  1.24205622,  0.22648501, -0.11102343,
        0.0263462 , -1.60435103, -0.14766101,  0.40990385,  0.90715362])]"
14,normal,normal,50,False,False,False,"[array([ 1.77387904e-01, -1.03463465e-02, -8.87631341e-01,  8.85626003e-01,
        3.17966667e-01,  6.68492905e-02, -4.62790728e-01,  9.82995577e-01,
       -8.97919051e-01,  1.16878118e+00,  9.33961524e-01, -5.66572240e-01,
       -8.75260027e-01,  2.91076132e-01,  1.02680342e+00, -4.64816541e-01,
       -2.65363658e-01, -9.94675027e-02, -6.71138348e-01,  1.21528509e+00,
        6.49954208e-01,  1.13917814e-01,  1.83055050e+00,  1.60889098e-01,
        1.20681668e+00,  2.42283935e-04, -4.34239518e-01,  4.91514035e-01,
       -7.88350996e-01,  7.68709819e-01,  1.03362835e-01,  2.69123876e-01,
        1.31002753e+00, -5.51365280e-01, -1.46302640e+00, -1.18976039e+00,
        5.26601649e-01, -1.82158715e+00,  8.83301240e-01,  7.73478386e-01,
       -1.32781540e+00,  1.07637409e+00, -1.79068339e+00,  9.18305535e-01,
       -3.45281609e-01,  1.69264981e-01,  8.27406359e-02,  1.15056402e+00,
        1.01106653e+00,  1.84115168e+00])]"
15,normal,normal,50,False,False,False,"[array([-0.08177969, -1.39360759, -0.32597856, -0.00687645, -1.57705122,
       -0.70115866,  0.27637929, -0.5569151 , -0.76176483,  1.33428386,
        0.09897395, -0.78104041,  0.70836309, -1.99336857, -0.49467058,
        0.09692136,  0.16080706, -0.07721808, -0.92506034,  0.72196786,
       -0.07888654,  0.33080873, -0.94233059, -0.22298044,  0.18101396,
        0.24178637, -0.58542439,  0.17814061, -0.42095434,  1.732429  ,
        0.38883872, -0.09641348, -1.88294811, -1.12156425,  0.41333944,
        0.2058465 ,  1.40047527,  2.35318777,  1.51279379,  1.06829769,
        0.21548572, -1.76981937,  0.19754344,  0.77855274,  0.94952662,
       -1.76678559, -1.71513416,  1.86079559,  0.04059312,  0.6848887 ])]"
16,normal,normal,50,False,False,False,"[array([-1.29802543, -1.13659833, -0.42971036, -2.13692917,  0.13484879,
       -0.10773111,  1.27964734,  0.83274746,  0.45146308,  1.43843452,
        2.05509343,  0.69037358,  0.25791486, -0.67235642,  1.85998111,
        0.50418374,  0.45486828, -1.59195971, -0.38369624,  0.18943668,
        0.65471126,  0.90993002,  1.19806558,  2.29360371, -1.06967628,
        0.81023268,  2.90301812,  0.21418221,  0.72106335, -1.47523298,
       -0.16233701,  0.05282315, -1.78058615,  0.40607642, -1.5044035 ,
       -0.92642408,  0.80205274, -0.56692194,  0.82530741,  0.32375895,
       -1.54030014,  0.01471576,  0.16264117,  1.28219397, -1.04614629,
        1.84272187, -0.43766807,  0.17165318,  1.05938385,  1.31351975])]"
17,normal,normal,50,False,False,False,"[array([ 0.76289917,  0.76163917,  2.37650311, -1.72704686, -0.69173894,
        0.81564428,  0.64610298,  0.53559826, -1.57036074, -0.66936118,
       -0.40296912,  0.20122399, -1.09438863,  0.82087652, -1.07658095,
       -0.00474434, -0.11519586,  1.33640975,  0.21303272, -0.46421243,
        0.63047037,  0.16292676, -0.83946095, -1.23713862,  1.57697911,
       -0.12268621,  0.65692638, -1.55974349,  0.15066889,  1.04451932,
       -0.47936323, -1.42734376,  1.53871167, -0.90042455,  1.9388368 ,
       -0.34572226,  0.61553043, -0.50339008,  1.1276437 ,  0.58707682,
        0.07836452, -2.61795812, -0.2608692 , -0.33396606,  0.32081082,
        1.00960915,  0.05547878,  2.98518504,  1.35041584, -1.07881427])]"
18,normal,normal,50,False,False,False,"[array([ 0.40618842,  0.91691481,  0.63159607, -0.40237679, -1.4338157 ,
        0.49474387, -0.44110257, -0.37036312, -1.87506574,  0.74822406,
        0.26550594,  1.17672023,  2.856819  ,  0.10737385,  1.06891359,
       -0.33494965,  0.8280116 , -0.75636755, -0.96225587, -0.75290059,
       -0.35945605, -0.17616562,  1.95219071,  1.0597064 , -0.39282131,
        0.18901313,  0.59569177, -1.52388202, -0.14758169, -0.56648173,
        0.26493831,  2.59486618,  0.9813258 , -0.77264854,  0.42833039,
        0.79806611, -0.53550351, -0.88366932,  0.58020449, -0.01439946,
       -0.8745597 , -0.62802087, -0.48714329, -2.08092312, -1.90948035,
       -0.25330022,  0.59528487,  0.81974799, -0.75362659, -0.85400104])]"
19,normal,normal,50,False,False,False,"[array([ 0.40103308,  0.39439442, -1.0738783 , -0.17272731, -0.61027901,
       -0.34637987, -0.10034894,  0.62772023,  0.75384472,  0.65073195,
       -0.46285882,  1.34203039,  1.54228537,  1.17628869,  1.86056398,
        0.20598646, -0.18449569, -1.08194199,  0.31166061, -0.89066632,
        1.7457682 , -0.76715631,  0.48852842, -0.48888793, -0.82668281,
        1.11566912,  2.26170002, -0.2477712 ,  0.55371678,  0.27215818,
        1.22106489,  0.23923603, -0.10004707,  0.6366018 , -1.1171599 ,
        0.050557  , -0.80764186, -0.08710282,  0.46451218,  0.62768182,
        1.00644879, -0.10804337, -0.13128493, -0.50663859,  1.82352513,
       -1.89234091,  0.12310912,  0.63653889, -0.47528513, -0.80795981])]"
20,normal,normal,150,False,False,False,"[array([-0.42099724, -0.66990951, -0.91964153,  0.51802963,  0.10015729,
       -0.87209885, -2.23386189,  0.00708947,  0.18919443,  0.14016731,
        1.2001109 ,  0.75020298,  0.12887838, -1.37535341,  0.3884691 ,
        0.44565566,  0.77274792, -0.8768046 , -0.58407326, -0.5920869 ,
       -0.17324248,  0.25260463,  0.22208563,  2.0492708 ,  0.67673897,
       -0.37137992, -1.89743223,  0.54101826, -0.74664093,  0.49755078,
        0.09215814, -0.08021858, -0.50837299, -0.29600953, -1.17756792,
       -1.01794799,  0.71986402,  1.23993396,  0.80823018, -0.01967988,
       -1.2748436 , -0.6668327 ,  1.68096519, -0.44228367, -0.34802013,
        0.02783733,  0.17908846, -1.08184279,  0.65463977, -1.90100449,
        1.03391779, -1.90337134,  0.07942349, -0.36022179, -0.79028867,
       -0.30701845,  1.42792991,  0.68875327, -0.46119896, -0.53305997,
        0.57958798, -0.28975535, -0.27356834, -1.47173502,  0.27344433,
       -2.19124887,  0.60069492, -0.07051453, -2.15441942,  0.70996548,
        2.39921904,  0.57453801,  0.40404523, -0.87525243, -0.98997945,
        1.02613248, -0.23153508, -0.48726036,  0.31332881, -0.69019069,
       -0.05820228, -0.63015396, -0.46073941, -2.19842909,  0.1786796 ,
        0.45618484,  0.36872562,  1.12422327, -0.35463242, -0.98440791,
       -0.33841607,  0.47633515,  1.18589743,  0.5110308 ,  0.75042686,
        0.12974851,  0.72512051, -0.51675888, -0.58473391,  1.60995058,
        1.27172283,  0.70331019,  0.89036892, -1.7552011 ,  0.48242873,
       -0.12861778, -1.05979418,  0.77027535,  1.07369206, -0.55365752,
        0.77454702, -1.03959893, -0.6832291 ,  0.48325824, -0.03119788,
        0.65165392,  0.83374342, -0.08507879, -1.19478654, -0.96229231,
       -0.97170956, -0.18253061,  0.21273691, -1.02848415, -0.44087051,
       -0.94974067, -0.18599581,  1.36742515,  0.57707029,  0.89850321,
        0.38848016, -2.15319027,  0.43068354, -0.47450124, -0.37459518,
       -0.79981981, -0.40451811,  1.45677287, -0.18621722, -1.14066724,
       -0.5319565 , -1.39694224,  0.56507717,  0.68468789,  0.98232787,
       -0.55320237,  1.52700434,  0.21818112,  0.37206314, -1.54334769])]"
21,normal,normal,150,False,False,False,"[array([-1.841674  ,  0.99113772,  1.45434602, -0.91053044, -0.6489043 ,
       -0.7898574 ,  0.99085836, -1.61865603,  1.5186736 ,  0.36160379,
       -1.19894523,  0.27090883,  0.84462659,  0.24564405, -1.31361707,
       -0.73996182, -1.83184449,  1.62462926,  0.43707182, -0.59920599,
        0.11635474,  1.45717518, -0.65094624,  0.3481    ,  1.03003053,
       -0.99426417,  0.039574  , -0.48312699, -0.67173132, -1.0602589 ,
        0.11203827, -1.10520114, -1.10756646,  0.00583235, -0.41051521,
        0.07898504,  0.21132066, -1.35394156, -0.31244073,  1.73696687,
        0.36542999,  0.83133862, -0.7273397 , -1.40931644,  0.88893469,
       -0.32715457, -0.20666448,  1.2912375 ,  0.50621831, -1.19162977,
       -1.20743034,  0.0449496 , -0.37222892, -1.02117301, -1.2718604 ,
        0.70432811,  2.89071655, -0.22012193, -1.12268386,  0.8228189 ,
        1.14652465,  0.9551125 ,  0.46035504, -0.72112377,  1.10813318,
        0.52102941,  0.51441491,  1.19183707,  1.17388529,  0.05729953,
       -0.4625247 ,  0.53954412, -0.1554234 ,  0.73987327,  0.19039609,
        0.03633137, -1.11341882,  0.83373466,  2.3110931 ,  0.06514281,
       -0.82174792,  1.31184066,  0.97504877,  0.04398176,  0.44659398,
       -0.40125193,  1.50081444, -2.22758509,  0.46864132,  1.70144424,
        0.66745437,  0.15378634,  0.42717777, -0.62183763,  0.0732395 ,
        0.86069692, -2.49166722,  0.01228755,  0.56583707,  0.7270057 ,
        0.15789721, -0.25810108, -0.37930206, -0.11497663,  0.44481341,
        0.8481216 , -0.63271046, -0.7311186 , -1.09194137, -0.8407718 ,
       -0.45468702,  0.20465259, -1.8798939 , -1.15023549, -1.81068496,
       -1.13584743, -0.13524155,  0.07827804,  0.66218606,  0.31614192,
        0.27273852,  0.55550011,  0.1439635 , -1.89373292,  1.32187967,
       -0.41759758,  0.25833121,  0.98081707, -1.742091  ,  0.9278353 ,
       -0.53843284, -0.22497969,  0.09055043,  0.87188457,  0.84431852,
        0.87493408, -0.25982311,  0.52692632, -0.50596346,  1.44539588,
        2.66025149, -1.07262454, -0.07958959,  0.32851946,  0.93242319,
        0.91297075, -0.44333928, -0.16591114, -0.36365913, -0.21316899])]"
22,normal,normal,150,False,False,False,"[array([ 1.60802716,  0.34812568, -1.55532552, -0.3413076 , -0.11954664,
       -1.90323851,  1.62955952, -0.76742034,  1.83766819, -1.18019515,
       -1.55252855, -0.45106398, -0.10655858,  0.06524556,  2.59999279,
       -0.67096046, -1.72272411, -0.29683279,  1.4344331 , -0.29482387,
        1.03041104, -0.96345102,  0.12081625,  1.5355935 , -0.63391414,
        1.53503763,  0.23667451, -1.14743917, -0.8659961 ,  1.77544584,
       -0.162016  , -1.73239988,  0.46271282, -0.91533612, -0.01626573,
        1.18107807, -0.44575019, -1.53595404, -0.32013272,  0.58540491,
       -0.76782668, -0.74410183,  1.86272274,  1.17818384,  1.42928762,
       -1.01219746,  0.77139032,  0.53992477, -0.08355153, -1.75794142,
       -0.65433018, -0.69848799,  0.11193102, -0.32399809,  0.97636617,
       -0.91711767,  1.02600864,  0.5239241 ,  1.59264124, -0.93621551,
       -0.1660119 , -1.47390231, -1.01208253,  1.66801861, -0.28338257,
       -0.27987795, -0.55155939,  0.21474621, -1.94922239, -1.23803451,
        0.50859893, -0.12867975, -1.21346722,  1.49051352, -0.91065348,
        0.03389599, -0.4102348 ,  1.51775881,  1.70423088, -1.52772813,
        0.01627781,  1.2369514 , -0.03884544, -0.03149857,  0.22512353,
       -0.56272672, -0.61514739, -0.44906343, -0.61826169, -0.01833073,
       -0.15137863, -1.74411966,  0.88229626, -1.41911339,  1.47895231,
       -0.24100073,  1.25401014, -0.71096732,  1.55887653, -0.29237104,
        0.73407992,  0.44560148,  1.43743691,  1.69040139, -0.89332768,
        1.05671561,  0.94824678, -0.71784903, -0.19441701, -1.63089121,
       -0.68379023,  0.29670247, -0.81792333,  0.08498319, -1.5683859 ,
       -0.96796885,  0.08375162,  1.30440909,  0.90340795, -0.51684669,
        1.49913636,  0.91053918,  0.03655015,  0.04089916, -1.97149517,
       -0.67781238, -1.93632441, -0.57365219, -0.09554574, -0.14814207,
        1.19172044, -1.67098167,  0.60962927,  0.758127  , -0.49924219,
       -0.33978191,  1.97023706, -2.27745143,  1.24709331,  0.60631951,
       -0.16962308,  1.12696339, -0.37715438,  1.96037676,  0.50290925,
        0.01029221, -0.88609043,  0.81754824,  0.49498476, -1.31045654])]"
23,normal,normal,150,False,False,False,"[array([-0.77074895, -0.84683334, -0.98147892,  0.82713095, -0.1011688 ,
        0.29604852, -0.81761135,  0.55535145, -2.90325535, -1.72995353,
       -0.22026897, -0.21521793, -0.4148618 ,  1.26746946,  2.01242142,
        1.07358793,  0.43469119,  0.42310565, -0.68964249,  2.00526178,
       -0.23773296, -0.20134066, -0.75551519, -0.55037704, -0.51729487,
       -0.85046269,  0.39858086, -0.21131412, -0.36401403, -0.52900564,
       -0.80651325,  0.29380592, -0.85634335, -0.71574752, -1.60860464,
        0.67965861, -0.94647841, -1.591663  ,  1.88604042,  2.10172442,
       -0.4388694 ,  0.67608602, -1.1884007 ,  0.62014471,  0.47813812,
        1.43497637,  0.33274758, -1.05980301,  1.57137911,  0.24482496,
        0.78080831,  0.37366398,  1.00317574, -0.13772758,  0.53031893,
        0.64836292,  1.15711188, -0.50750791,  2.57942291, -0.34123504,
       -1.61914321, -0.68352549, -0.62822039, -1.47702993, -1.20525289,
        0.23710688, -0.60644909, -1.40932894, -0.36524076,  1.3817234 ,
        0.81674452, -0.77599504, -0.67768635,  0.20441179, -2.21952393,
        0.83606017, -0.44500123, -1.12621742,  1.40471397, -0.40112151,
       -0.3245536 , -0.66459089,  0.53028144,  0.04636884, -0.02224463,
        0.90173137,  1.43352447,  0.06735278, -0.79973691,  0.1720038 ,
        0.01974963,  0.62561266,  1.39044159,  0.78895615,  0.07562717,
        0.68208693,  1.17085449,  0.46349629, -0.34746228,  0.42887033,
       -0.57299291, -1.32903025,  1.21562735, -1.18054871,  0.08763559,
       -0.87461581, -0.47419534,  0.54858456, -0.78645845, -0.29112151,
        0.29787307, -0.51451995, -0.93784747, -0.09429187,  0.64376576,
        0.74393166, -1.38371749,  0.15118172,  0.88513669,  0.87852111,
       -1.18335229, -1.70911747,  0.0814852 ,  0.98565907,  1.37260331,
        0.27794617, -0.30419795, -0.91999723,  0.59739095, -0.7320904 ,
       -1.53901386,  0.72323168,  1.28301626,  0.23973982, -0.74043943,
        0.8563118 , -1.90932076, -0.8001176 , -0.08137763,  0.23640479,
        0.1991356 ,  0.41117286, -0.91069582,  0.84040689,  0.12910915,
        0.79617568, -0.18091362, -1.30602644,  0.31748061,  0.37814943])]"
24,normal,normal,150,False,False,False,"[array([-1.83682722e+00, -7.87853451e-01,  1.43259134e+00,  5.31605582e-01,
        5.69565084e-01,  5.18028409e-01, -1.23262318e+00,  1.66874392e-01,
       -9.64802879e-01,  3.15687902e-01,  2.80988635e-01, -1.04731043e+00,
        5.47682628e-01, -8.91003734e-01, -8.39073807e-01,  7.68884859e-01,
        1.91181759e+00, -1.21026464e+00, -6.67018392e-01, -2.87478483e-01,
        1.83880630e+00, -5.31915785e-01,  7.17468999e-01,  4.92519929e-01,
        1.24426773e+00,  2.59964049e-01,  2.73252886e-01, -7.02277149e-02,
       -1.59337705e+00, -2.04105089e-01, -1.75313945e+00, -1.40350616e+00,
       -4.74159877e-01,  1.30719145e+00, -4.97920217e-01,  1.99210380e+00,
        9.26469075e-02,  3.33828679e-01,  5.08834664e-01,  1.20391680e-01,
       -8.57477717e-01, -1.18895611e+00,  2.70572132e-01, -1.72958862e+00,
        7.96936829e-01,  7.88632955e-02,  1.92495192e+00,  4.32113606e-01,
       -1.23729807e+00,  2.08449090e+00,  2.04324955e-01,  7.17077606e-01,
        1.33047675e+00,  7.66180454e-01,  5.76111432e-01,  1.51866598e+00,
        8.87354063e-01, -8.48776523e-01,  6.74813431e-01, -6.65900716e-01,
        1.85692343e-01, -5.38379313e-01, -8.59815650e-01, -6.98598175e-01,
       -1.84425536e+00, -1.24287855e+00, -9.11877447e-01, -6.08215356e-01,
       -5.28101420e-01, -1.66554550e-02, -3.14458571e-01, -2.81981544e+00,
       -2.43460799e-01, -3.95906376e-01,  9.98847646e-01, -1.28420321e-01,
       -1.56530308e+00, -1.75125027e+00, -1.06310829e+00, -7.97849204e-02,
       -2.30238001e+00, -1.14484314e+00, -5.62894992e-01,  9.63144736e-01,
        5.52527087e-01,  1.06833380e+00,  1.32732718e+00,  2.42688544e-01,
        6.92152928e-01, -6.59215284e-01,  1.11422990e+00, -4.08758794e-02,
        2.66129336e-01, -9.01003699e-02, -7.93426267e-01,  1.12905177e+00,
        7.91638309e-01, -2.91415770e-01,  2.29363550e-01,  3.29964852e-01,
        1.25644147e+00, -9.88844215e-01,  7.11857528e-01, -3.22802546e-01,
        1.89444958e+00,  1.45388608e+00, -7.96551326e-01, -6.04497964e-01,
        3.92777868e-02,  1.61170261e-04,  3.25037681e-01,  6.37640622e-01,
       -9.92257575e-01,  2.25532884e-01, -1.48735604e+00, -1.51638534e+00,
       -1.10321934e+00,  2.94068740e-01,  7.34571934e-01,  2.43231880e-01,
        2.40697400e-01, -6.62817603e-02,  8.72291654e-01,  5.66791169e-01,
       -5.93007116e-01, -3.02852305e-01,  5.31934938e-02,  1.56939626e-01,
       -3.52342472e-01,  1.58457436e+00,  1.21073727e+00, -7.95745079e-01,
       -4.29361466e-01, -1.12976395e+00,  4.88511153e-02,  1.17247715e+00,
        5.44554998e-01,  2.12644790e-01,  1.25555004e+00, -5.39782949e-01,
        1.42702378e+00,  4.89752362e-01,  4.41172185e-01, -5.98157318e-01,
       -8.52935163e-01,  4.51996385e-01,  3.19134131e-01,  4.58399539e-01,
       -7.16862166e-01,  6.70690716e-01])]"
25,normal,normal,150,False,False,False,"[array([-1.26042603,  0.50675357, -0.37977401,  0.50474604, -0.34757716,
       -0.23919216, -0.96086511, -0.06719723, -0.69083895, -1.65061948,
       -1.19845966, -0.54890339,  0.86208386, -0.044714  , -0.22258942,
       -0.68828703,  0.28686264,  1.58893795,  1.68151436,  0.79860231,
       -1.12235745, -1.26817353, -0.36587586,  0.10298187, -0.02637517,
       -0.8737027 ,  1.44252464, -1.42508842,  0.58621022, -0.99349687,
        0.63260472,  0.92747373,  1.04586313, -0.10133101, -1.15243194,
        0.75305941,  0.85098141, -0.86608111,  0.21125166,  0.32291487,
        0.81108314,  0.17503883, -1.10174893, -1.39248304, -0.77751847,
        0.58808073, -2.52914608,  0.85608193,  0.19290025,  1.36106824,
        0.14920033, -0.02953805,  1.08613236, -0.76166882, -1.24362803,
        0.99289692,  0.48554048, -0.50257859,  1.4192879 , -0.60572972,
       -0.62386471, -0.57865615,  0.62352398, -0.07022798, -0.31492846,
       -0.86362544,  0.39376546, -0.71937478, -0.77298091,  0.95237217,
       -0.59805448, -0.32121414, -0.89380843, -0.28043209, -0.91511316,
        0.42643973,  1.03519568,  0.50615419,  0.67170663,  0.37672892,
       -1.84300981, -0.47156569,  1.10437588, -0.32892196, -0.62404171,
       -0.25150647,  0.46477905, -1.02234098, -0.11398557,  0.54398584,
       -0.7683274 ,  0.23594714,  0.68288985, -1.41237186,  0.65243642,
        0.72639352, -0.04218019,  0.69839496, -0.83556759, -0.92107385,
       -1.65496619, -0.80857881, -0.57866943,  1.77247622,  0.12239168,
        0.17606447, -1.58385453,  0.1316227 , -0.5465101 , -1.65911868,
       -0.44759531, -0.02364004, -1.29786007,  0.70691915, -0.44285204,
        2.75521135,  1.5558826 ,  0.60969353,  1.72682138, -0.73084953,
        0.25321799, -0.16337133,  0.4986541 ,  0.53736824,  1.06141418,
        0.10995423, -0.73682555,  1.01738462,  0.46155357, -0.29092425,
       -0.18332532, -0.16048855, -1.68816564, -0.93060028,  1.26122051,
       -1.272326  ,  0.49401709, -0.23749877,  0.791204  ,  1.3331256 ,
       -2.35794614,  0.86659441,  0.58194271, -2.38153078,  0.90501968,
        0.73584376,  0.26982122,  0.15521215,  0.18313114,  0.43387314])]"
26,normal,normal,150,False,False,False,"[array([ 0.57148479,  0.39510488,  0.87240623,  0.86391839,  2.36507317,
       -0.160495  , -1.22912183, -0.09663956, -0.26990319, -0.32142493,
       -0.36630987, -0.63376147,  1.3484551 ,  0.43891711,  1.29823431,
       -0.03572921,  0.56827813, -1.88889411,  0.13012348,  0.33046734,
        0.11221591, -0.43998218, -0.94874421, -0.37176148, -1.86939126,
        0.87245235,  0.11262819,  0.17537686,  1.11984531,  1.30387737,
        0.24412848,  0.8218852 , -1.65918121,  0.7498266 ,  2.28827363,
        0.03890086,  0.77019901, -0.50775084,  0.59319337, -0.12843953,
        0.04014341, -0.71577471, -0.75275018, -0.20016178,  0.66755177,
        2.3052329 , -1.13934216, -0.18049845, -0.2191946 , -0.46968624,
       -1.36665562,  0.72180518,  0.59419926,  1.0142593 , -0.78623679,
        0.01594727, -0.00358821,  0.38744056,  0.15912099,  0.61606539,
        1.36294624, -1.4749381 ,  0.4949571 ,  1.70468744, -0.96415003,
        0.17173816,  0.56525105, -0.59494568, -0.85861278,  0.19487593,
        1.51039229,  0.50422138, -0.42084152,  0.24155723, -1.11514358,
        1.58500915,  0.49919365, -0.13485947, -0.03486126, -1.2495906 ,
       -1.25866057,  0.88687409, -1.20860725, -0.8079805 , -0.40003057,
       -1.24481036,  1.0617775 ,  0.30666816,  1.29261601, -0.88616035,
        0.56376429,  1.19964148, -0.30218895,  1.31005423, -0.22543773,
       -0.92601056, -1.29146833, -0.72089558,  1.88856362,  0.65180066,
       -1.31493933, -0.05947388,  2.61583077, -0.2659227 ,  0.95338443,
       -0.53046257,  0.93133013,  0.92017406,  0.06129521, -0.10881123,
       -1.25304176, -0.40899968, -0.98366498,  0.31799601, -0.03033591,
        0.37478338,  1.51207433,  0.45273512,  1.40708792, -0.92550265,
       -2.64339765, -0.43747306, -1.67905507,  0.73407376,  1.22565687,
        0.19020314, -0.544741  , -0.22320214,  0.69972042,  1.50408152,
        0.21878909,  1.55994032, -1.68417492,  2.67708158, -1.87715129,
        0.52580956,  0.02846524,  0.20796982, -1.3901324 ,  0.81576138,
        1.67243044,  0.59406718,  1.29933697, -0.7544204 ,  1.15763752,
       -0.61206788,  0.82153246,  0.3302976 , -0.35658054,  0.2252735 ])]"
